word,meaning_bn,meaning_en,example,part_of_speech,phonetic,level
cycle,চক্র,An interval of space or time in which one set of events or phenomena is completed.,"the cycle of the seasons, or of the year",noun,/ˈsaɪkəl/,
cycling,সাইকেল চালানো,To ride a bicycle or other cycle.,,verb,/ˈsaɪk(ə)lɪŋ/,
dad,বাবা,"A father, a male parent.",His dad was always there for him.,noun,/dæd/,
daily,দৈনিক,"Something that is produced, consumed, used, or done every day.",,noun,/ˈdeɪli/,
damage,ক্ষতি,Injury or harm; the condition or measure of something not being intact.,The storm did a lot of damage to the area.,noun,/ˈdæmɪdʒ/,
damp,স্যাঁতসেঁতে,Moisture; humidity; dampness.,,noun,/dæmp/,
dance,নাচ,"A sequence of rhythmic steps or movements usually performed to music, for pleasure or as a form of social interaction.",,noun,[dæːns],
dancer,নর্তকী,"A person who dances, usually as a job or profession.",,noun,/ˈdæns.ə(ɹ)/,
dancing,নাচ,"To move with rhythmic steps or movements, especially in time to music.",I danced with her all night long.,verb,/ˈdæn.sɪŋ/,
danger,বিপদ,Exposure to likely harm; peril.,There's plenty of danger in the desert.,noun,/ˈdeɪn.dʒə(ɹ)/,
dangerous,বিপজ্জনক,Full of danger.,Railway crossings without gates are highly dangerous.,adjective,/ˈdeɪnd͡ʒ(ə)ɹəs/,
dare,সাহস,A challenge to prove courage.,,noun,/dɛə(ɹ)/,
dark,অন্ধকার,Having an absolute or (more often) relative lack of light.,The room was too dark for reading.,adjective,/dɑːk/,
data,তথ্য,"(plural: data) A measurement of something on a scale understood by both the recorder (a person or device) and the reader (another person or device). The scale is arbitrarily defined, such as from 1 to 10 by ones, 1 to 100 by 0.1, or simply true or false, on or off, yes, no, or maybe, etc.",,noun,/ˈdaetə/,
date,তারিখ,"The fruit of the date palm, Phoenix dactylifera, somewhat in the shape of an olive, containing a soft, sweet pulp and enclosing a hard kernel.",We made a nice cake from dates.,noun,/deɪt/,
date back,তারিখ ফিরে,,,,,
daughter,কন্যা,One’s female offspring.,"I already have a son, so I would like to have a daughter.",noun,/ˈdɑ.tɚ/,
day,দিন,Any period of 24 hours.,I've been here for two days and a bit.,noun,/deɪ/,
dead,মৃত,"(with ""the"", a demonstrative, or a possessive) Those who have died.",Have respect for the dead.,noun,/diːd/,
deaf,বধির,A deaf person.,,noun,/diːf/,
deal,চুক্তি,"A division, a portion, a share.",We gave three deals of grain in tribute to the king.,noun,/diːl/,
dear,প্রিয়,"A very kind, loving person.","My cousin is such a dear, always drawing me pictures.",noun,/diːɹ/,
death,মৃত্যু,"The cessation of life and all associated processes; the end of an organism's existence as an entity independent from its environment and its return to an inert, nonliving state.",The death of my grandmother saddened the whole family.,noun,/diːθ/,
debate,বিতর্ক,"An argument, or discussion, usually in an ordered or formal setting, often with more than two people, generally ending with a vote or other decision.","After a four-hour debate, the committee voted to table the motion.",noun,/dɪˈbeɪt/,
debt,ঋণ,"An action, state of mind, or object one has an obligation to perform for another, adopt toward another, or give to another.",,noun,/dɛt/,
decade,দশক,"A group, set, or series of ten , particularly:",a decade of soldiers,noun,,
decay,ক্ষয়,The process or result of being gradually decomposed.,,noun,/dɪˈkeɪ/,
decent,শালীন,Appropriate; suitable for the circumstances.,,adjective,/ˈdiːsənt/,
decide,সিদ্ধান্ত,"To resolve (a contest, problem, dispute, etc.); to choose, determine, or settle",Her last-minute goal decided the game.,verb,/dɪˈsaɪd/,
decision,সিদ্ধান্ত,The act of deciding.,,noun,/dɪˈsɪʒən/,
declare,ঘোষণা,"To make clear, explain, interpret.",,verb,,
decline,হ্রাস,"Downward movement, fall.",,noun,/dɪˈklaɪn/,
decorate,সাজাইয়া রাখা,To furnish with decorations.,We decorated the Christmas tree with tinsel and baubles.,verb,/ˈdɛkəɹeɪt/,
decoration,সজ্জা,"The act of adorning, embellishing, or honoring; ornamentation.",,noun,/ˌdɛkəˈɹeɪʃən/,
decorative,আলংকারিক,"A plant, tile, etc. intended for use as decoration.",,noun,/ˈdɛkɹətɪv/,
decrease,হ্রাস,An amount by which a quantity is decreased.,One research team has recorded Baishui’s decrease at about 27 meters per year over the last 10 years.,noun,,
deep,গভীর,"(with ""the"") The deep part of a lake, sea, etc.",creatures of the deep,noun,/diːp/,
deeply,গভীরভাবে,"At depth, in a deep way.",,adverb,/ˈdiːpli/,
defeat,পরাজয়,To overcome in battle or contest.,Wellington defeated Napoleon at Waterloo.,verb,/dɪˈfiːt/,
defend,রক্ষা,To ward off attacks against; to fight to protect; to guard.,,verb,/dɪˈfɛnd/,
defense,প্রতিরক্ষা,"The action of defending or protecting from attack, danger, or injury.",,noun,/dɪˈfɛns/,
define,সংজ্ঞায়িত করা,A kind of macro in source code that replaces one text string with another wherever it occurs.,,noun,/dɪˈfaɪn/,
definite,নির্দিষ্ট,(grammar) A word or phrase that designates a specified or identified person or entity.,,noun,/ˈdɛfɪnɪt/,
definitely,নিশ্চিতভাবে,Without question and beyond doubt.,Joe definitely doesn't know how to drive a tractor.,adverb,/ˈdɛf.nɪt.li/,
definition,সংজ্ঞা,A statement of the meaning of a word or word group or a sign or symbol (dictionary definitions).,,noun,/ˌdɛfɪˈnɪʃ(ə)n/,
degree,ডিগ্রী,"A stage of proficiency or qualification in a course of study, now especially an award bestowed by a university or, in some countries, a college, as a certification of academic achievement. (In the United States, can include secondary schools.)",She has two bachelor's degrees and is studying towards a master's degree.,noun,/dɪˈɡɹiː/,
delay,বিলম্ব,A period of time before an event occurs; the act of delaying; procrastination; lingering inactivity.,the delay before the echo of a sound,noun,/dɪˈleɪ/,
deliberate,ইচ্ছাকৃত,To consider carefully; to weigh well in the mind.,It is now time for the jury to deliberate the guilt of the defendant.,verb,,
deliberately,ইচ্ছাকৃতভাবে,"Intentionally, or after deliberation; not accidentally.","He deliberately broke that, didn't he?",adverb,/dəˈlɪb(ə)ɹətli/,
delicate,সূক্ষ্ম,"A delicate item of clothing, especially underwear or lingerie.",Don't put that in with your jeans: it's a delicate!,noun,/ˈdɛlɪkət/,
delight,আনন্দ,Joy; pleasure.,,noun,/dəˈlaɪt/,
deliver,বিতরণ,To set free from restraint or danger.,deliver a captive from the prison,verb,/dɪˈlɪvə(ɹ)/,
delivery,বিতরণ,The act of conveying something.,The delivery was completed by four.,noun,/dɪˈlɪv(ə)ɹi/,
demand,চাহিদা,The desire to purchase goods and services.,Prices usually go up when demand exceeds supply.,noun,/dɪˈmɑːnd/,
democracy,গণতন্ত্র,"Rule by the people, especially as a form of government; either directly or through elected representatives (representative democracy).",,noun,/dɪˈmɒkɹəsi/,
democratic,গণতান্ত্রিক,"Pertaining to democracy; favoring democracy, or constructed upon the principle of government by the people.","The United States is a democratic country, as the citizens are allowed to choose leaders to represent their interests.",adjective,/dɛməˈkɹætɪk/,
demonstrate,প্রদর্শন,To show how to use (something).,Can you demonstrate the new tools for us?,verb,/ˈdɛmənstɹeɪt/,
demonstration,প্রদর্শন,The act of demonstrating; showing or explaining something.,,noun,/dɛmənˈstɹeɪʃən/,
dentist,দাঁতের ডাক্তার,A medical doctor who specializes in dentistry.,,noun,/ˈdɛntɪst/,
deny,অস্বীকার,To disallow or reject.,"I wanted to go to the party, but I was denied.",verb,/dɪˈnaɪ/,
department,বিভাগ,"A part, portion, or subdivision.",,noun,/dɪˈpɑːtm(ə)nt/,
departure,প্রস্থান,The act of departing or something that has departed.,The departure was scheduled for noon.,noun,/dɪˈpɑː(ɹ)tjə(ɹ)/,
depend,নির্ভরশীল,"(followed by on or upon, formerly also by of) To be contingent or conditioned; to have something as a necessary condition; to hinge on.","We would like to go skiing, but it depends on the amount of snow.",verb,/dɪˈpɛnd/,
depend on,নির্ভর করে,,,,,
deposit,আমানত,Sediment or rock that is not native to its present location or is different from the surrounding material. Sometimes refers to ore or gems.,,noun,/dɪˈpɒzɪt/,
depress,হতাশা,To press down.,Depress the upper lever to start the machine.,verb,/dɪˈpɹɛs/,
depressed,বিষণ্ণ,To press down.,Depress the upper lever to start the machine.,verb,/dɪˈpɹɛst/,
depressing,হতাশাজনক,To press down.,Depress the upper lever to start the machine.,verb,/dɪˈpɹɛsɪŋ(ɡ)/,
depth,গভীরতা,The vertical distance below a surface; the degree to which something is deep,Measure the depth of the water in this part of the bay.,noun,/dɛpθ/,
derive,আহরণ,To obtain or receive (something) from something else.,,verb,/dəˈɹaɪv/,
derive from,থেকে উদ্ভূত,,,,,
describe,বর্ণনা,To represent in words.,"The feeling is difficult to describe, but not unpleasant.",verb,/dəˈskɹaɪb/,
description,বর্ণনা,A sketch or account of anything in words; a portraiture or representation in language; an enumeration of the essential qualities of a thing or species.,,noun,/dɪˈskɹɪpʃən/,
e-mail,,,,,,
e.g.,যেমন,An example.,Lemurs are an e.g. of a non-simian primate.,noun,/fɔː(ɹ) ɪɡˈzɑːmpəl/,
each,প্রতিটি,(operations) An individual item: the least quantitative unit in a grouping.,,noun,/iːt͡ʃ/,
each other,একে অপরকে,(reciprocal pronoun) To one another; one to the other; signifies that a verb applies to two or more entities both as subjects and as direct objects:,Jack and Robert loved each other.,pronoun,/iːˈtʃʌðə/,
eager,আগ্রহী,Sharp; sour; acid.,,adjective,/ˈiːɡə/,
ear,কান,"The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.",,noun,,
early,তাড়াতাড়ি,A shift (scheduled work period) that takes place early in the day.,,noun,/ˈɜː.li/,
earn,উপার্জন,"To gain (success, reward, recognition) through applied effort or work.","You can have the s'mores: you earned them, clearing the walkway of snow so well.",verb,/ɜːn/,
earth,পৃথিবী,The third planet of the Solar System; the world upon which humans live.,,proper noun,/ɜːθ/,
ease,আরাম,"Ability, the means to do something, particularly:",,noun,/iːz/,
easily,সহজে,"Comfortably, without discomfort or anxiety.",,adverb,/ˈiː.zə.liː/,
east,পূর্ব,"One of the four principal compass points, specifically 90°, conventionally directed to the right on maps; the direction of the rising sun at an equinox. Abbreviated as E.",,noun,/iːst/,
eastern,পূর্ব,"Of, facing, situated in, or related to the east.",,adjective,/ˈiːstən/,
easy,সহজ,Something that is easy,,noun,/ˈiːzi/,
eat,খাওয়া,Something to be eaten; a meal; a food item.,,noun,/iːt/,
eat up,খাওয়া,To consume completely.,Dinner is served. Eat up!,verb,,
economic,অর্থনৈতিক,Pertaining to an economy.,,adjective,/ˌiːkəˈnɒmɪk/,
economics,অর্থনীতি,"The study of resource allocation, distribution and consumption; of capital and investment; and of management of the factors of production.",,noun,/ˌikəˈnɑmɪks/,
economy,অর্থনীতি,"Effective management of a community or system, or especially its resources.",,noun,/iːˈkɒn.ə.mi/,
edge,প্রান্ত,The boundary line of a surface.,,noun,/ɛdʒ/,
edition,সংস্করণ,"A written work edited and published, as by a certain editor or in a certain manner.",,noun,/əˈdɪʃən/,
editor,সম্পাদক,A person who edits or makes changes to documents.,,noun,/ˈɛdɪtə/,
educate,শিক্ষিত,To instruct or train,Wang said such changes to the Baishui glacier provide the chance to educate visitors about global warming.,verb,/ˈedʒɘkæet/,
educated,শিক্ষিত,To instruct or train,Wang said such changes to the Baishui glacier provide the chance to educate visitors about global warming.,verb,/ˈɛdjuːkeɪtɪd/,
education,শিক্ষা,"The process of imparting knowledge, skill and judgment.","2016-06-17 AROP JOSEPH ""Education is the slight hammer that breaks the yoke of ignorance, and moulds knowledge, skills, ideas, good moral values in a person be it a child, a youth or full grown adult. no matter a persons age learning never stops"".",noun,/ˌɛdjʊˈkeɪʃn̩/,
educational,শিক্ষাগত,"A free (or low cost) trip for travel consultants, provided by a travel operator or airline as a means of promoting their service. A fam trip",,noun,/ˌɛdʒʊˈkeɪʃənəl/,
effect,প্রভাব,The result or outcome of a cause.,The effect of the hurricane was a devastated landscape.,noun,/ɪˈfɛkt/,
effective,কার্যকর,A soldier fit for duty,,noun,/əˈfɛktɪv/,
effectively,কার্যকরভাবে,In an efficient or effective manner; with powerful effect.,,adverb,,
efficient,দক্ষ,A cause; something that causes an effect,,noun,/əˈfɪʃənt/,
effort,প্রচেষ্টা,The work involved in performing an activity; exertion.,"It took a lot of effort to find a decent-sized, fully-furnished apartment within walking distance of the office.   He made a conscious effort to not appear affected by the stories in the paper.",noun,/ˈɛfət/,
egg,ডিম,"An approximately spherical or ellipsoidal body produced by birds, reptiles, insects and other animals, housing the embryo during its development.",,noun,/eɪɡ/,
either,হয়,(after a negative) As well.,"I don't like him, and I don't like her either.",adverb,/ˈaɪð.ə(ɹ)/,
elbow,কনুই,The joint between the upper arm and the forearm.,,noun,/ˈɛl.bəʊ/,
elderly,বয়স্ক,An elderly person,,noun,/ˈɛldəli/,
elect,নির্বাচিত,One chosen or set apart.,,noun,/iːˈlɛkt/,
election,নির্বাচন,"A process of choosing a leader, members of parliament, councillors or other representatives by popular vote.",How did you vote in (UK also: at) the last election?,noun,/ɪˈlɛkʃ(ə)n/,
electric,বৈদ্যুতিক,(usually with definite article) Electricity; the electricity supply.,We had to sit in the dark because the electric was cut off.,noun,/əˈlɛktɹɪk/,
electrical,বৈদ্যুতিক,An electrical engineer.,,noun,/ɪˈlɛktɹɪkəl/,
electricity,বিদ্যুৎ,"Originally, a property of amber and certain other nonconducting substances to attract lightweight material when rubbed, or the cause of this property; now understood to be a phenomenon caused by the distribution and movement of charged subatomic particles and their interaction with the electromagnetic field.",,noun,/ɪˌlɛkˈtɹɪsɪti/,
electronic,ইলেকট্রনিক,: Of or pertaining to an electron or electrons.,,adjective,/ɪˌlɛkˈtɹɒn.ɪk/,
elegant,মার্জিত,Characterised by or exhibiting elegance.,,adjective,/ˈɛl.ə.ɡənt/,
element,উপাদান,"One of the simplest or essential parts or principles of which anything consists, or upon which the constitution or fundamental powers of anything are based.",Letters are the elements of written language.,noun,/ˈɛlɪmənt/,
elevator,লিফট,Anything that raises or uplifts.,,noun,/ˈɛl.ə.veɪ.tɚ/,
eliminate,নির্মূল,"To completely remove, get rid of, put an end to.",,verb,/ɪˈlɪməneɪt/,
else,অন্য,(used only with indefinite or interrogative pronouns) Other; in addition to previously mentioned items.,The instructor is busy. Can anyone else help me?,adjective,/ɛls/,
elsewhere,অন্যত্র,A place other than here.,,noun,/ˌɛlsˈʍɛːə/,
embarrass,বিব্রত,To humiliate; to disrupt somebody's composure or comfort with acting publicly or freely; to disconcert; to abash,The crowd's laughter and jeers embarrassed him.,verb,/ɪmˈbæ.ɹəs/,
embarrassed,বিব্রত,To humiliate; to disrupt somebody's composure or comfort with acting publicly or freely; to disconcert; to abash,The crowd's laughter and jeers embarrassed him.,verb,/ɪmˈbæɹ.əst/,
embarrassing,বিব্রতকর,To humiliate; to disrupt somebody's composure or comfort with acting publicly or freely; to disconcert; to abash,The crowd's laughter and jeers embarrassed him.,verb,/ɪmˈbæɹəsɪŋ/,
embarrassment,বিব্রত,A state of discomfort arising from bashfulness or consciousness of having violated a social rule; humiliation.,,noun,/ɪmˈbæɹəsmənt/,
emerge,আবির্ভূত,To come into view.,,verb,/iˈmɜːd͡ʒ/,
emergency,জরুরী,A situation which poses an immediate risk and which requires urgent attention.,Cardiac arrest is an emergency and if you find someone in cardiac arrest you should call 999 immediately.,noun,/ɪˈmɝ.dʒən.si/,
emotion,আবেগ,"A person's internal state of being and involuntary physiological response to an object or a situation, based on or tied to physical state and sensory data.",,noun,/iˈmoʊʃən/,
emotional,আবেগপূর্ণ,Of or relating to the emotions.,emotional crisis,adjective,/ɪˈməʊʃnəl/,
emphasis,জোর,Special weight or forcefulness given to something considered important.,He paused for emphasis before saying who had won.,noun,/ˈɛmfəsɪs/,
emphasize,জোর দেওয়া,"To stress, give emphasis or extra weight to (something).",His two-fingered gesture emphasized what he had told his boss to do with his job.,verb,/ˈɛm.fə.saɪz/,
empire,সাম্রাজ্য,(furniture) Following or imitating a style popular during the First French Empire (1804–1814).,,adjective,/ˈɛmpaɪ.ə/,
employ,নিয়োগ,The state of being an employee; employment.,The school district has six thousand teachers in its employ.,noun,/ɛmˈplɔɪ/,
employee,কর্মচারী,An individual who provides labor to a company or another person.,One way to encourage your employees to work harder is by giving them incentives.,noun,/(ˌ)ɪm-/,
employer,নিয়োগকর্তা,"A person, firm or other entity which pays for or hires the services of another person.",,noun,/ɛmplɔɪˈə/,
employment,কর্মসংস্থান,"The work or occupation for which one is used, and often paid",,noun,/ɛmˈplɔɪmənt/,
empty,খালি,"(usually plural) A container, especially a bottle, whose contents have been used up, leaving it empty.",Put the empties out to be recycled.,noun,/ˈɛmpti/,
enable,সক্ষম,"To make somebody able (to do, or to be, something); to give sufficient ability or power to do or to be; to give strength or ability to.",,verb,/ɪˈneɪbəl/,
encounter,সম্মুখীন,"A meeting, especially one that is unplanned or unexpected.",Their encounter was a matter of chance.,noun,/ɪnˈkaʊntə/,
encourage,উত্সাহিত করা,"To mentally support; to motivate, give courage, hope or spirit.",I encouraged him during his race.,verb,/ɪnˈkʌɹɪdʒ/,
encouragement,উত্সাহ,The act of encouraging,,noun,[ɪnˈkʌɹɪdʒmənt],
end,শেষ,The terminal point of something in space or time.,"At the end of the road, turn left.",noun,/ɛnd/,
ending,শেষ,A termination or conclusion.,,noun,/ˈɛndɪŋ/,
enemy,শত্রু,"Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else.",Crush the enemy!,noun,/ˈɛnəmi/,
energy,শক্তি,The impetus behind all motion and all activity.,,noun,/ˈɛnəd͡ʒi/,
engage,জড়িত,(heading) To interact socially.,,verb,/ɛnˈɡeɪdʒ/,
engaged,নিযুক্ত,(heading) To interact socially.,,verb,/ɛnˈɡeɪdʒd/,
engine,ইঞ্জিন,"A large construction used in warfare, such as a battering ram, catapult etc.",,noun,/end͡ʒən/,
engineer,প্রকৌশলী,A person who is qualified or professionally engaged in any branch of engineering.,,noun,/ˌɛnd͡ʒɪˈnɪə/,
engineering,প্রকৌশল,"To design, construct or manage something as an engineer.",,verb,/ˌen.dʒɪˈnɪə.ɹɪŋ/,
enjoy,উপভোগ,To receive pleasure or satisfaction from something,Enjoy your holidays!   I enjoy dancing.,verb,/ənˈd͡ʒɔɪ/,
enjoyable,উপভোগ্য,"Pleasant, capable of giving pleasure.",That was an enjoyable day; I had a lot of fun.,adjective,/ɛnˈdʒɔɪ.jə.bəl/,
enjoyment,উপভোগ,The condition of enjoying anything.,Few activities better the enjoyment of a hearty meal eaten in good company.,noun,/ɛnˈdʒɔɪmənt/,
enormous,বিশাল,"Deviating from the norm; unusual, extraordinary.",,adjective,/ɪˈnɔː(ɹ)məs/,
enough,যথেষ্ট,Sufficiently.,Are you man enough to fight me?,adverb,/iˈnʌf/,
ensure,নিশ্চিত করা,"To make a pledge to (someone); to promise, guarantee (someone of something); to assure.",,verb,/ɪnˈʃɔː/,
enter,প্রবেশ করা,"The ""Enter"" key on a computer keyboard.",,noun,/ˈɛntə(ɹ)/,
entertain,বিনোদন,Entertainment; pleasure.,,noun,/ˌɛntəˈteɪn/,
entertainer,বিনোদনকারী,"A person who entertains others, esp. as a profession, as a singer, actor, presenter, dancer, musician, magician, comedian, etc.",,noun,,
entertaining,বিনোদনমূলক,To amuse (someone); to engage the attention of agreeably.,The motivational speaker not only instructed but also entertained the audience.,verb,,
entertainment,বিনোদন,"An activity designed to give pleasure, enjoyment, diversion, amusement, or relaxation to an audience, no matter whether the audience participates passively as in watching opera or a movie, or actively as in games.",,noun,/ˈɛn.tɚˈteɪn.mənt/,
enthusiasm,উদ্দীপনা,Possession by a god; divine inspiration or frenzy.,,noun,/-θuː-/,
enthusiastic,উত্সাহী,"With zealous fervor; excited, motivated.",an enthusiastic lover of art,adjective,/ɪnˌθjuːzɪˈæstɪk/,
entire,সম্পূর্ণ,The whole of something; the entirety.,,noun,/ənˈtaɪə/,
entirely,সম্পূর্ণরূপে,To the full or entire extent.,"It is entirely up to you where we go, as I’ll be happy with anywhere.",adverb,/ɪnˈtaɪəli/,
entitle,এনটাইটেল,To give a title to.,,verb,/ənˈtaɪtəl/,
entrance 1,প্রবেশদ্বার 1,,,,,
entry,প্রবেশ,The act of entering.,,noun,/ˈɛntɹi/,
envelope,খাম,"A paper or cardboard wrapper used to enclose small, flat items, especially letters, for mailing.",,noun,/ˈɒn.və.ləʊp/,
environment,পরিবেশ,"The surroundings of, and influences on, a particular item of interest.",,noun,/-mɪnt/,
environmental,পরিবেশগত,Pertaining to the environment.,,adjective,,
equal,সমান,A person or thing of equal status to others.,This beer has no equal.,noun,/ˈiːkwəl/,
equally,সমানভাবে,(manner) In an equal manner; in equal shares or proportion; with equal and impartial justice; evenly,All citizens are equally taxed.,adverb,/ˈiːkwəli/,
equipment,সরঞ্জাম,"The act of equipping, or the state of being equipped, as for a voyage or expedition.",,noun,/ɪˈkwɪpmənt/,
equivalent,সমতুল্য,"Anything that is virtually equal to something else, or has the same value, force, etc.",,noun,/ɪˈkwɪvələnt/,
era,যুগ,"A time period of indeterminate length, generally more than one year.",,noun,/ˈɪə̯ɹ.ə/,
error,ত্রুটি,"The state, quality, or condition of being wrong.",,noun,/ˈɛɹə(ɹ)/,
escape,পলায়ন,The act of leaving a dangerous or unpleasant situation.,The prisoners made their escape by digging a tunnel.,noun,/əˈskeɪp/,
especially,বিশেষ করে,(manner) In a special manner; specially.,,adverb,/əˈspɛʃ(ə)li/,
essay,প্রবন্ধ,"(authorship) A written composition of moderate length, exploring a particular issue or subject.",,noun,/ˈɛˌseɪ/,
essential,অপরিহার্য,A necessary ingredient.,,noun,/ɪˈsɛn.ʃəl/,
essentially,মূলত,In an essential manner; in essence,,adverb,/ɪˈsɛnʃəli/,
establish,প্রতিষ্ঠা,To make stable or firm; to confirm.,,verb,/ɪˈstæb.lɪʃ/,
estate,এস্টেট,"The collective property and liabilities of someone, especially a deceased person.",,noun,/ɪsˈteɪt/,
estimate,অনুমান,"A rough calculation or assessment of the value, size, or cost of something.",,noun,/ˈɛstɨmɨt/,
etc.,ইত্যাদি,,,,,
ethnic,জাতিগত,"An ethnic person, especially a foreigner or member of an immigrant community.",,noun,/ˈɛθ.nɪk/,
even,এমনকি,(diminutive) An even number.,So let's see. There are two evens here and three odds.,noun,/ˈiːvən/,
evening,সন্ধ্যা,"The time of the day between dusk and night, when it gets dark.",,noun,/ˈivnɪŋ/,
event,ঘটনা,An occurrence; something that happens.,,noun,/əˈvɛnt/,
eventually,অবশেষে,"In the end; at some later time, especially after a long time, a series of problems, struggles, delays or setbacks.",,adverb,/ɪ.ˈvɛn.tjʊ.li/,
ever,কখনও,"Occurring at any time, occurring even but once during a timespan.",,adjective,/ˈɛvə/,
every,প্রতিটি,,,,,
everyone,সবাই,Every person.,,pronoun,/ˈɛv.ɹi.wʌn/,
everything,সবকিছু,All the things under discussion.,I checked the list again and everything is done.,pronoun,/ˈɛvɹiθɪŋ/,
everywhere,সর্বত্র,In or to all locations under discussion.,He delivers the mail everywhere on this street.,adverb,/ɛv.ɹi.(h)weə(ɹ)/,
evidence,প্রমাণ,Facts or observations presented in support of an assertion.,There is no evidence that anyone was here earlier.,noun,[ˈɛvəɾəns],
evil,মন্দ,Moral badness; wickedness; malevolence; the forces or behaviors that are the opposite or enemy of good.,"Evil lacks spirituality, hence its need for mind control.",noun,/ˈivəl/,
ex-,প্রাক্তন-,,,,,
exact,সঠিক,"To demand and enforce the payment or performance of, sometimes in a forcible or imperious way.","to exact tribute, fees, or obedience from someone",verb,/ɪɡˈzækt/,
exactly,ঠিক,(manner) without approximation; precisely.,He divided the coins exactly in half.,adverb,/ɪɡˈzæk(t)li/,
exaggerate,অতিরঞ্জিত করা,"To overstate, to describe more than is fact.","He said he'd slept with hundreds of girls, but I know he's exaggerating. The real number is about ten.",verb,/ɛɡˈzæ.dʒə.ɹeɪt/,
exaggerated,অতিরঞ্জিত,"To overstate, to describe more than is fact.","He said he'd slept with hundreds of girls, but I know he's exaggerating. The real number is about ten.",verb,/ɛɡ-/,
exam,পরীক্ষা,The act of examining.,,noun,/ɛɡˈzæm/,
examination,পরীক্ষা,The act of examining.,,noun,/ɪɡˌzæmɪˈneɪʃən/,
examine,পরীক্ষা,To observe or inspect carefully or critically,He examined the crime scene for clues.,verb,/ɪɡˈzæmɪn/,
example,উদাহরণ,Something that is representative of all such things in a group.,,noun,/əɡˈzæmpl̩/,
excellent,চমৎকার,"Having excelled, having surpassed.",,adjective,/ˈɛksələnt/,
except,ছাড়া,To exclude; to specify as being an exception.,,verb,/ɪkˈsɛpt/,
exception,ব্যতিক্রম,"The act of excepting or excluding; exclusion; restriction by taking out something which would otherwise be included, as in a class, statement, rule.",,noun,/əkˈsɛpʃən/,
exchange,বিনিময়,An act of exchanging or trading.,"All in all, it was an even exchange.",noun,/ɛksˈtʃeɪndʒ/,
excite,উত্তেজিত,To stir the emotions of.,The fireworks which opened the festivities excited anyone present.,verb,/ɪkˈsaɪt/,
excited,উত্তেজিত,To stir the emotions of.,The fireworks which opened the festivities excited anyone present.,verb,/ɪkˈsaɪtɪd/,
excitement,উত্তেজনা,The state of being excited (emotionally aroused).,,noun,/ɪkˈsaɪtmənt/,
exciting,উত্তেজনাপূর্ণ,To stir the emotions of.,The fireworks which opened the festivities excited anyone present.,verb,/ɪkˈsaɪtɪŋ/,
exclude,বাদ,To bar (someone) from entering; to keep out.,,verb,/ɪksˈkluːd/,
excluding,বাদ,To bar (someone) from entering; to keep out.,,verb,,
excuse,অজুহাত,Explanation designed to avoid or alleviate guilt or negative judgment; a plea offered in extenuation of a fault.,Tell me why you were late – and I don't want to hear any excuses!,noun,,
executive,নির্বাহী,"A chief officer or administrator, especially one who can make significant decisions on their own authority.",,noun,/ɛɡˈzɛkjʊtɪv/,
exercise,ব্যায়াম,Any activity designed to develop or hone a skill or ability.,The teacher told us that the next exercise is to write an essay.,noun,/ˈɛk.sə.saɪz/,
exhibit,প্রদর্শন,An instance of exhibiting.,,noun,/ɛɡ-/,
exhibition,প্রদর্শনী,"An instance of exhibiting, or something exhibited.",,noun,/ɛksɪˈbɪʃən/,
exist,বিদ্যমান,(stative) to be; have existence; have being or reality,,verb,/ɪɡˈzɪst/,
existence,অস্তিত্ব,"The state of being, existing, or occurring; beinghood.","In order to destroy evil, we must first acknowledge its existence.",noun,/ɛɡ.ˈzɪs.təns/,
exit,প্রস্থান,"An act of going out or going away, or leaving; a departure.",He made his exit at the opportune time.,noun,/ˈɛksɪt/,
expand,প্রসারিত,To change (something) from a smaller form and/or size to a larger one; to spread out or lay open.,You can expand this compact umbrella to cover a large table.,verb,/ɛkˈspænd/,
expect,আশা করা,To predict or believe that something will happen,He never expected to be discovered.,verb,/ɛkˈspɛkt/,
expectation,প্রত্যাশা,The act or state of expecting or looking forward to an event as about to happen.,,noun,/ɛkspɛkˈteɪʃən/,
expected,প্রত্যাশিত,To predict or believe that something will happen,He never expected to be discovered.,verb,/ɪksˈpɛktɪd/,
expense,খরচ,"A spending or consuming, often a disbursement of funds.","Buying the car was a big expense, but will be worth it in the long run.",noun,/ɪkˈspɛns/,
expensive,ব্যয়বহুল,"Given to expending a lot of money; profligate, lavish.",,adjective,/ɛkˈspɛnsɪv/,
experience,অভিজ্ঞতা,"The effect upon the judgment or feelings produced by any event, whether witnessed or participated in; personal and direct impressions as contrasted with description or fancies; personal acquaintance; actual enjoyment or suffering.",It was an experience he would not soon forget.,noun,/ɪkˈspɪə.ɹɪəns/,
experienced,অভিজ্ঞ,"To observe certain events; undergo a certain feeling or process; or perform certain actions that may alter one or contribute to one's knowledge, opinions, or skills.",,verb,/ɪkˈspɪə.ɹɪənst/,
experiment,পরীক্ষা,"A test under controlled conditions made to either demonstrate a known truth, examine the validity of a hypothesis, or determine the efficacy of something previously untried.",,noun,/ɛk.ˈspɛ.ɹɪ.mənt/,
expert,বিশেষজ্ঞ,A person with extensive knowledge or ability in a given subject.,"We called in several experts on the subject, but they couldn't reach an agreement.",noun,/ˈɛkspəːt/,
